Age,Mass,Height,Load20%1RM,Load40%1RM,Load60%1RM,Load80%1RM,Load90%1RM,Load-1RM-1,20% MV,40%MV,60%MV,80%MV,90%MV,100%MV
22,77.8,175,39,78,114,156,175,190,1.05,0.91,0.76,0.52,0.39,0.26
21,71.6,179,24,48,72,96,108,120,1.03,0.91,0.68,0.49,0.39,0.27
19,60.8,165,26,52,78,104,117,130,1.06,0.92,0.76,0.51,0.37,0.26
21,58.4,172,20,40,60,80,90,100,0.97,0.85,0.68,0.5,0.38,0.26
20,82.3,185,30,60,90,120,135,150,1.02,0.92,0.76,0.5,0.4,0.29
20,60.1,170,20,40,60,80,90,100,0.99,0.83,0.66,0.48,0.4,0.31
21,82.4,180,25,50,75,100,108,125,1.05,0.87,0.72,0.53,0.44,0.29
23,83.4,182,25.5,51,76.5,102,115,127.5,1.11,0.85,0.68,0.49,0.4,0.28
22,59.8,179,20,40,60,80,90,100,1.11,0.92,0.76,0.52,0.42,0.27
22,94.3,180,36,72,108,144,162,180,1.12,0.89,0.76,0.51,0.44,0.28
21,77.3,177,28,56,84,104,112,140,1.05,0.92,0.77,0.52,0.4,0.28
22,71.8,178,26,52,78,104,117,130,1.02,0.93,0.74,0.51,0.38,0.29
25,64.4,172,28,56,84,112,126,140,1.17,0.94,0.73,0.49,0.43,0.31
22,87.4,180,28,56,84,112,126,140,1.11,0.92,0.72,0.51,0.43,0.27
20,79.7,177,40,80,120,160,180,200,1.03,0.86,0.65,0.51,0.41,0.27
26,74.4,182,25,50,75,100,108,125,1.05,0.91,0.76,0.52,0.36,0.24
23,61.6,168,26.5,53,79.5,106,119,135,1.1,0.93,0.73,0.47,0.39,0.26
21,59.7,170,21,42,63,84,95,105,1.02,0.86,0.71,0.52,0.4,0.27
22,78.4,181,30,60,90,120,135,150,1.03,0.93,0.75,0.51,0.4,0.29
23,62.7,169,22,44,66,88,99,110,1.06,0.86,0.67,0.52,0.38,0.27
24,84.4,184,26,52,78,104,117,130,1.01,0.87,0.64,0.49,0.38,0.24
20,83.7,182,24.5,49,73.5,98,110,122.5,1.09,0.82,0.67,0.51,0.43,0.3
19,57.9,174,20,40,60,80,90,100,1.09,0.93,0.7,0.49,0.41,0.27
20,97.8,1.83,35,70,105,140,157.5,175,1.09,0.93,0.74,0.54,0.43,0.3
20,76.4,174,28,56,84,104,112,140,1.11,0.95,0.71,0.53,0.4,0.25
21,72.9,179,26,53,79,105,119,132,1.17,0.96,0.72,0.53,0.42,0.31
23,66.9,174,29,58,87,116,130.5,145,1.1,0.97,0.78,0.51,0.41,0.26
20,84.7,186,30,60,90,120,135,150,1.08,0.87,0.68,0.52,0.41,0.28
24,82.4,179,39.5,79,118.5,158,177.5,197.5,1.06,0.9,0.67,0.49,0.4,0.27
23,73.4,176,26,46,69,92,103.5,115,1.07,0.92,0.73,0.53,0.42,0.29
19,62.5,168,26,52,78,104,117,130,1.11,0.92,0.67,0.48,0.43,0.28
18,60.7,173,20,40,60,80,90,100,1.04,0.86,0.71,0.52,0.38,0.25
26,85.6,182,29.5,59,88.5,118,132,147.5,1.06,0.93,0.7,0.5,0.37,0.26
24,80.9,184,21,42,63,84,94.5,105,1.06,0.84,0.72,0.51,0.43,0.29
23,63.4,174,24,48,72,96,108,120,0.94,0.87,0.69,0.48,0.39,0.29
22,85.4,184.7,24,48,72,96,108,120,1.13,0.89,0.68,0.5,0.42,0.27
21,60.4,173,20,40,60,80,90,100,1.04,0.92,0.72,0.52,0.43,0.3
24,99.8,186,37,74,111,148,166.5,185,1.05,0.95,0.78,0.5,0.44,0.27
19,76.9,181,28,56,84,104,112,140,1.08,0.93,0.73,0.52,0.4,0.29
20,80,183,27,54,81,108,121,135,1.15,0.91,0.7,0.47,0.43,0.27
21,78.9,176,30,60,90,120,135,150,1.06,0.96,0.73,0.5,0.43,0.28
24,89.4,183,29,58,87,116,130.5,145,1.09,0.9,0.74,0.49,0.37,0.24
22,83.8,184,39,78,117,156,175.5,195,1.02,0.91,0.71,0.53,0.42,0.27
21,72.8,175,25,50,75,100,112.5,125,1.04,0.84,0.71,0.5,0.39,0.28
19,63.4,170,26,52,78,104,117,130,1.02,0.86,0.64,0.47,0.41,0.28
26,58.7,169,24,42,63,84,94.5,105,1.12,0.89,0.73,0.52,0.4,0.28
24,86.8,187,29.5,59,87,118,133,147.5,1.11,0.94,0.73,0.51,0.41,0.26
21,63.4,174,22,44,66,88,99,110,1.08,0.94,0.78,0.53,0.43,0.27
22,80.4,179,26,52,78,104,117,130,1.06,0.94,0.74,0.51,0.4,0.29
23,74.4,181,27,54,81,108,121,135,1.09,0.92,0.71,0.49,0.39,0.28
19,83.7,184.4,30,60,90,120,135,150,1.08,0.99,0.73,0.48,0.42,0.26
20,80.7,182,35.5,71,106,141.5,159.5,177,1.08,0.85,0.69,0.47,0.41,0.26
