Age,Mass,Height,Load20%1RM,Load40%1RM,Load60%1RM,Load80%1RM,Load90%1RM,Load-1RM-1,20% MV,40%MV,60%MV,80%MV,90%MV,100%MV
22,77.8,175,42,84,126,168,189,210,1.05,0.92,0.72,0.51,0.4,0.28
21,71.6,179,30,60,90,120,135,150,1.06,0.9,0.67,0.5,0.38,0.26
19,60.8,165,30,60,90,120,135,150,1.09,0.92,0.74,0.48,0.36,0.24
21,58.4,172,24,48,72,96,108,120,1.07,0.91,0.73,0.53,0.42,0.27
20,82.3,185,35,70,105,140,157.5,175,1.03,0.91,0.7,0.51,0.38,0.29
20,60.1,170,26,52,78,104,117,130,1.04,0.92,0.7,0.52,0.37,0.27
21,82.4,180,30,60,90,120,135,150,1.02,0.86,0.67,0.47,0.38,0.27
23,83.4,182,32,64,96,128,145,160,1.08,0.94,0.74,0.52,0.37,0.26
22,59.8,179,24,48,72,96,108,120,1.06,0.9,0.65,0.53,0.38,0.26
22,94.3,180,44,88,132,176,198,220,1.01,0.84,0.65,0.51,0.38,0.28
21,77.3,177,38,76,114,152,170,190,1.03,0.86,0.66,0.52,0.38,0.27
22,71.8,178,32,64,96,128,144,160,1.14,0.94,0.73,0.51,0.42,0.27
25,64.4,172,34,68,102,136,153,170,1.16,0.94,0.73,0.46,0.37,0.24
22,87.4,180,35,70,105,140,157.5,175,1.06,0.87,0.7,0.42,0.29,0.19
20,79.7,177,43,86,129,172,193.5,215,1.1,0.89,0.7,0.49,0.37,0.26
26,74.4,182,31,62,93,124,139.5,155,1.11,0.97,0.76,0.48,0.37,0.25
23,61.6,168,34,64,96,128,145,160,1.12,0.96,0.71,0.5,0.37,0.26
21,59.7,170,25,50,75,100,117.5,125,1.1,0.92,0.71,0.53,0.42,0.27
22,78.4,181,36,72,108,144,162,180,1.08,0.91,0.74,0.49,0.39,0.27
23,62.7,169,26.5,53,79.5,106,119,132.5,1.02,0.79,0.61,0.47,0.38,0.26
24,84.4,184,31,62,93,124,139.5,155,1.03,0.93,0.63,0.49,0.37,0.26
20,83.7,182,32,64,96,128,144,160,1.13,0.93,0.75,0.5,0.37,0.27
19,57.9,174,24,48,72,96,108,120,1.07,0.89,0.69,0.54,0.42,0.28
20,97.8,1.83,44.5,89,133.5,178,200,222.5,1.13,0.91,0.65,0.46,0.35,0.23
20,76.4,174,37.5,75,112.5,150,169,187.5,1.09,0.84,0.67,0.49,0.4,0.29
21,72.9,179,31.5,63,94.5,126,142,157.5,1.09,0.97,0.74,0.5,0.4,0.3
23,66.9,174,35,70,105,140,157.5,175,1.13,0.93,0.72,0.5,0.4,0.25
20,84.7,186,36,72,108,144,162,180,1.05,0.93,0.7,0.42,0.29,0.18
24,92.4,179,45,90,135,180,202.5,225,1.02,0.89,0.71,0.48,0.37,0.26
23,73.4,176,32.5,65,97.5,130,146,162.5,1.09,0.96,0.75,0.52,0.36,0.26
19,62.5,168,30.5,61,91.5,122,137,152.5,1.12,0.96,0.74,0.51,0.36,0.24
18,60.7,173,25.5,51,76.5,102,115,127.5,1.1,0.96,0.76,0.53,0.38,0.28
26,85.6,182,35.5,71,106.5,142,160,177.5,1.08,0.91,0.73,0.49,0.34,0.23
24,80.9,184,25.5,51,76.5,102,115,127.5,1.04,0.82,0.64,0.47,0.36,0.25
23,63.4,174,30,60,90,120,135,150,1.04,0.86,0.67,0.51,0.39,0.3
22,85.4,184.7,33,66,99,132,148.5,165,1.15,0.97,0.77,0.52,0.35,0.24
21,60.4,173,24.5,49,73,97.5,110,122,1.1,0.89,0.7,0.53,0.41,0.27
24,99.8,186,43.5,87,130.5,174,196,217.5,1.1,0.88,0.62,0.49,0.34,0.22
19,76.9,181,39,78,117,156,175.5,195,1.06,0.89,0.67,0.49,0.36,0.23
20,80,183,33,66,99,132,148.5,165,1.11,1.02,0.78,0.51,0.42,0.26
21,78.9,176,35,70,105,140,157.5,175,1.17,0.94,0.7,0.51,0.42,0.27
24,89.4,183,37,74,111,148,166.5,185,1.05,0.9,0.72,0.42,0.31,0.18
22,83.8,184,41.5,83,124.5,166,187,207.5,1.02,0.85,0.7,0.47,0.36,0.25
21,72.8,175,31,62,93,124,139.5,155,1.04,0.95,0.76,0.54,0.41,0.27
19,63.4,170,30.5,61,91.5,122,137,152.5,1.06,0.92,0.71,0.48,0.35,0.23
26,58.7,169,23,46,69,92,103.5,115,1.07,0.96,0.77,0.54,0.37,0.27
24,86.8,187,34.5,69,103.5,138,155,172.5,1.02,0.89,0.75,0.49,0.36,0.25
21,63.4,174,27,52,79,108,121.5,135,1.04,0.8,0.64,0.48,0.36,0.25
22,80.4,179,30,60,90,120,135,150,1.03,0.87,0.65,0.46,0.34,0.22
23,74.4,181,31,62,93,124,139.5,155,1.17,0.95,0.75,0.53,0.42,0.27
19,62.5,174,24,48,72,96,108,120,1.11,0.87,0.71,0.5,0.39,0.28
20,104.6,182,45,90,135,180,202.5,225,1.02,0.85,0.63,0.46,0.34,0.23
